API Number,Operator,Month,Day,Year,Well_Name,Field_Name,County,Shale_Formation/Member,Depth,Depth_Range_(feet),Second_Depth_Interval_(feet),Third_Depth_Interval_(feet),Initial_Potential_(MCFD),Water_(BWPD),ISIP,SITP/SICP,FTP/FCP,IP OIL/COND,API gravity,GOR,Comments,Lateral Length (ft),PI Newsletter Date,Latitude,Longitude
35-063-24528,Petroquest Energy,8,12,2015,3-19H Leslie,Horntown SE,Hughes,Woodford,5458,5458,,,1332,1276,,,240,,,,"HORIZONTAL well; lateral 5,712-10,580 ft; gross depth range",4868,4/8/2016,35.075033,-96.186825
35-085-21223,XTO Energy,8,13,2015,1-32H Rachel,Marietta SW,Love,Woodford,16739,16739,,,3530,1400,,,,726,50,4862,"OIL WELL; HORIZONTAL well; lateral 17,486-21,380 ft; IPF COND 726 BPD; GOR 4,862; OIL GTY 50 API DEG",3894,12/18/2015,33.910364,-97.120706
35-051-23861,Vitruvian II Woodford,8,13,2015,1XH Ellis 14-4-6,Chitwood,Grady,Woodford,15130,15130,,,3037,1908,,,,372,60,8164,"OIL WELL; HORIZONTAL well; lateral 15,950-20,356 ft; liner 6,904-15,870 ft; IPF COND 372 BPD; GOR 8,164; OIL GTY 59.9 API DEG",4406,1/15/2016,34.818518,-97.794516
35-051-23860,Vitruvian II Woodford,8,14,2015,2XH Ellis 14-4-6,Chitwood,Grady,Woodford,15034,15034,,,3814,2146,,,,402,,9488,"OIL WELL; HORIZONTAL well; lateral 16,050-23,198 ft; IPF OIL 402 BPD; GOR 9,488",7148,1/22/2016,34.818518,-97.794516
35-085-21198,XTO Energy,8,20,2015,1-32H29 Brewster,Marietta SW,Love,Woodford,16789,16789,,,379,867,,,525,81,51,4679,"OIL WELL; HORIZONTAL well; lateral 16,886-21,170 ft; IPF COND 81 BPD; GOR 4,679; OIL GTY 51 API DEG",4284,9/25/2015,33.910364,-97.120706
35-133-25172,Silver Creek Oil & Gas,8,20,2015,5-1H Pentagon,Holdenville,Seminole,Woodford,4081,4081,,,,1975,,,,25,38,,"OIL WELL; HORIZONTAL well; lateral 4,418-8,918 ft; IPG OIL 25 BPD; OIL GTY 38 API DEG",4500,9/25/2015,35.027797,-96.495204
35-063-24522,XTO Energy,8,20,2015,1-5H8X17 Tiffany,Shady Grove S,Hughes,Woodford,5737,5737,,,425,2269,,,,,,,"HORIZONTAL well; lateral 5,844-12,115 ft",6271,11/13/2015,35.015197,-96.166914
35-011-23502,Continental Resources,8,21,2015,1-19-30XH Heckenberg,Hydro NW,Blaine,Woodford,16194,16194,,,7049,840,,,3200,,,,"HORIZONTAL well; lateral 15,935-23,797 ft",7862,9/11/2015; 12/9/2015,35.588678,-98.631283
35-047-25029,SK Plymouth LLC,8,22,2015,2-28WH Buss,Hunter S,Garfield,Woodford,6275,6275,,,269,1139,,,,132,,2038,"OIL WELL; HORIZONTAL well; lateral 6,550-10,502 ft; IPP OIL 132 BPD; GOR 2,038",3952,10/16/2015,36.51996,-97.737023
35-137-27321,XTO Energy,8,23,2015,1-17H Lawayne,Sho-Vel-Tum,Stephens,Woodford,13840,13840,,,5418,1112,,,3390,,,,"HORIZONTAL well; lateral 13,970-19,344 ft",5374,9/25/2015,34.47708,-97.753642
35-051-23867,Vitruvian II Woodford,8,24,2015,4-17X8H Johnson Rogers,Golden Trend,Grady,Woodford,14647,14647,,,6200,2453,,,,454,54,13656,"OIL WELL; HORIZONTAL well; lateral 15,250-22,342 ft; IPF COND 454 BPD; GOR 13,656; OIL GTY 54.45 API DEG",7092,9/11/2015; 3/4/2016,34.811123,-97.75079
35-051-23949,Continental Resources,8,24,2015,1-30H Triple H,Tabler E,Grady,Woodford,12327,12327,,,1712,1820,,,1000,524,49,3267,"OIL WELL; HORIZONTAL well; lateral 12,664-17,160 ft; IPF OIL 524 BPD; GOR 3,267; OIL GTY 48.87 API DEG",4496,11/20/2015,35.045208,-97.775396
35-121-24745,Petroquest Energy,8,24,2015,3-18H Jackie,Quinton District,Pittsburg,Woodford,8156,8156,,,2416,6100,,,,,,,"HORIZONTAL well; lateral 8,668-13,535 ft",4867,4/29/2016,35.075371,-95.548507
35-121-24744,Petroquest Energy,8,24,2015,3-19H Carolyn,Quinton District,Pittsburg,Woodford,8317,8317,,,3721,207,,,,,,,"HORIZONTAL well; lateral 8,589-13,432 ft",4843,5/6/2016,35.075371,-95.548507
35-051-23883,Vitruvian II Woodford,8,25,2015,3R-17X8H Johnson Rogers,Golden Trend,Grady,Woodford,14700,14700,,,4776,2535,,,,455,58,10497,"OIL WELL; HORIZONTAL well; lateral 15,298-22,390 ft; IPF COND 455 BPD; GOR 10,497; OIL GTY 58 API DEG",7092,9/11/2015; 3/4/2016,34.811123,-97.75079
35-011-23504,Continental Resources,8,25,2015,1-4-9XH Ireta,Squaw Creek,Blaine,Woodford,14628,14628,,,2511,5121,,,5100,,,,"HORIZONTAL well; lateral 14,659-24,847 ft",10188,11/13/2015; 11/20/2015,35.637529,-98.580118
35-051-23915,Vitruvian II Woodford,8,26,2015,5-17X8H Johnson Rogers,Golden Trend,Grady,Woodford,14589,14589,,,4648,3210,,,,388,57,11979,"OIL WELL; HORIZONTAL well; lateral 15,348-22,197 ft; IPF COND 388 BPD; GOR 11,979; OIL GTY 57.4 API DEG",6849,9/11/2015; 3/4/2016,34.811123,-97.746388
35-029-21295,BP America Production Company,8,28,2015,3-28H Phillips,Ashland N,Coal,Woodford,8606,8606,,,7828,1263,,,1065,,,,"HORIZONTAL well; lateral 9,186-14,059 ft",4873,9/11/2015,34.693714,-96.161313
35-017-24728,Devon Energy,8,28,2015,8H Gordon 35-14N-10W,Watonga-Chickasha Trend,Canadian,Woodford,12386,12386,,,493,914,,,2850,10,61,49300,"HORIZONTAL well; lateral 12,641-17,101 ft; IPF COND 10 BPD; GOR 49,300; OIL GTY 61 API DEG",4460,10/2/2015; 4/22/2016,35.637367,-98.228086
35-029-21294,BP America Production Company,8,29,2015,2-28H Phillips,Ashland N,Coal,Woodford,8652,8652,,,9627,880,,,1627,,,,"HORIZONTAL well; lateral 8,943-13,566 ft",4623,9/11/2015,34.693714,-96.152522
35-085-21230,XTO Energy,8,29,2015,1-3H Rudman,Marietta SE,Love,Woodford,17194,17194,,,3350,867,,,2772,493,53,6795,"OIL WELL; HORIZONTAL well; lateral 18,232-22,292 ft; IPF COND 493 BPD; GOR 6,795; OIL GTY 53 API DEG",4060,10/2/2015,33.895856,-97.077202
35-047-25038,SK Plymouth LLC,8,29,2015,3-17WH Toews,Hunter S,Garfield,Woodford,6136,6136,,,62,1794,,,,119,,521,"OIL WELL; HORIZONTAL well; lateral 6,700-10,902 ft; IPP OIL 119 BPD; GOR 521",4202,10/30/2015,36.548426,-97.657032
35-051-23928,Continental Resources,8,30,2015,1-6-31XH Silver Stratton,Chitwood,Grady,Woodford,13879,13879,,,3804,3869,,,2270,568,50,6697,"OIL WELL; HORIZONTAL well; lateral 14,956-24,992 ft; IPF COND 568 BPD; GOR 6,697; OIL GTY 49.7 API DEG",10036,11/20/2015,34.838501,-97.761624
35-051-23904,Continental Resources,8,31,2015,1-3H Tamara,Middleburg SW,Grady,Springer,12781,12781,,,1486,410,,,,745,46,1995,"LOWER SPRINGER SHALE INTERPRETED AS GODDARD SHALE; OIL WELL; HORIZONTAL well; lateral 13,154-17,790 ft; IPF OIL 745 BPD; GOR 1,995; OIL GTY 46.4 API DEG",4636,10/16/2015,35.015978,-97.82804
35-049-25040,Newfield Exploration,8,31,2015,5H-7X Williams,Golden Trend,Garvin,Woodford,12524,12524,,,2808,1560,,,,2505,44,1121,"OIL WELL; HORIZONTAL well; lateral 12,700-22,898 ft; IPF OIL 2,505 BPD; GOR 1,121; OIL GTY 44.2 API DEG",10198,10/23/2015,34.669288,-97.548494
35-049-25039,Newfield Exploration,8,31,2015,6H-7X Williams,Golden Trend,Garvin,Woodford,12360,12360,,,1854,1800,,,,1778,44,1043,"OIL WELL; HORIZONTAL well; lateral 12,740-22,910 ft; IPF OIL 1,778 BPD; GOR 1,043; OIL GTY 43.9 API DEG",10170,10/23/2015,34.669288,-97.548494
35-049-25041,Newfield Exploration,8,31,2015,2H-7X Williams,Foster,Garvin,Woodford,12639,12639,,,2601,720,,,,1829,47,1422,"OIL WELL; HORIZONTAL well; lateral 13,106-22,955 ft; IPF OIL 1,829 BPD; GOR 1,422; OIL GTY 46.7 API DEG",9849,10/23/2015,34.640352,-97.559614
